item_id;domain;facet;reverse;english_obs;german_obs;hungarian_obs
1;Openness to Experience;Aesthetic Appreciation;1;He/she would be quite bored by a visit to an art gallery.;Der Besuch einer Kunstausstellung würde ihn/sie ziemlich langweilen.;Meglehetősen untatná egy képtár meglátogatása.
2;Conscientiousness;Organization;0;He/she cleans his/her office or home quite frequently.;Er/Sie putzt sein/ihr Büro oder zuhause ziemlich oft.;Mind a munkahelyén, mind otthonában rendszeresen ügyel a rendre és tisztaságra.
3;Agreeableness;Forgiveness;0;He/she rarely holds a grudge, even against people who have badly wronged him/her.;Er/Sie hat selten Wut im Bauch, nicht mal gegen Leute, die ihn/sie sehr ungerecht behandelt haben.;Még azokkal szemben sem haragtartó, akik csúnyán megbántották.
4;Extraversion;Social Self-Esteem;0;He/she feels reasonably satisfied with himself/herself overall.;Im Allgemeinen ist er/sie mit sich ziemlich zufrieden.;Alapjában véve úgy érzi, hogy elégedett magával.
5;Emotionality;Fearfulness;0;He/she would feel afraid if he/she had to travel in bad weather conditions.;Er/Sie hätte Angst, wenn er/sie bei schlechten Wetterbedingungen verreisen müsste.;Nyugtalansággal töltené el, ha rossz időjárási körülmények között kellene utazást vállalnia.
6;Honesty-Humility;Sincerity;1;If he/she wants something from a person he/she dislikes, he/she will act very nicely toward that person in order to get it.;Wenn er/sie von einer Person, die er/sie nicht mag, etwas will, verhält er/sie sich dieser Person gegenüber sehr nett um es zu bekommen.;Ha valakitől, akit tulajdonképpen nem is kedvel, akar valamit, célja érdekében képes ehhez a személyhez nagyon kedvesnek lenni.
7;Openness to Experience;Inquisitiveness;0;He/she is interested in learning about the history and politics of other countries.;Er/Sie ist daran interessiert, etwas über die Geschichte und Politik anderer Länder zu lernen.;Érdeklik más országok történelmi és politikai sajátosságai.
8;Conscientiousness;Diligence;0;When working, he/she often sets ambitious goals for himself/herself.;Wenn er/sie arbeitet, setzt er/sie sich oft ehrgeizige Ziele.;A munkájában gyakran tűz ki ambiciózus célokat maga elé.
9;Agreeableness;Gentleness;1;People sometimes say that he/she is too critical of others.;Andere sagen ihm/ihr manchmal, dass er/sie zu kritisch gegenüber anderen ist.;Az ismerősei gyakran állítják, hogy túl kritikus másokhoz.
10;Extraversion;Social Boldness;1;He/she rarely expresses his/her opinions in group meetings.;Bei Gruppentreffen sagt er/sie nur selten seine/ihre Meinung.;Csoportos megbeszéléseken ritkán ad hangot véleményének.
11;Emotionality;Anxiety;0;He/she worries about little things.;Er/Sie kann manchmal nichts dagegen machen, dass er/sie sich über kleine Dinge Sorgen macht.;Néha nem tudja megállni, hogy ne aggodalmaskodjék apróságokon.
12;Honesty-Humility;Fairness;1;If he/she knew that he/she could never get caught, he/she would be willing to steal a million dollars.;Wenn er/sie wüsste, dass er/sie niemals erwischt wird, wäre er/sie bereit, eine Million zu stehlen.;Ha tudná, hogy sosem kapják el, kész lenne egy millió dollárt vagy eurót ellopni.
13;Openness to Experience;Creativity;1;He/she would like a job that requires following a routine rather than being creative.;Er/Sie wünscht sich einen Beruf, der Routine verlangt, anstatt einen, der Kreativität fordert.;Inkább olyan állást szeretne, ahol a rutin a fontos és nem a kreativitás.
14;Conscientiousness;Perfectionism;0;He/she often checks his/her work over repeatedly to find any mistakes.;Oft kontrolliert er/sie seine/ihre Arbeit mehrfach, um alle Fehler zu finden.;Gyakran ismételten is leellenőrzi a munkáját, hogy nincs-e mégis hiba benne.
15;Agreeableness;Flexibility;1;People sometimes think that he/she is too stubborn.;Andere sagen ihm/ihr manchmal, dass er/sie zu dickköpfig ist.;Az ismerősei néha azt mondják, hogy túlzottan makacs.
16;Extraversion;Sociability;1;"He/she avoids making ""small talk"" with people.";Er/Sie vermeidet es, mit anderen Leuten Small Talk zu halten.;Kerüli az üres társalkodást.
17;Emotionality;Dependence;0;When he/she suffers from a painful experience, he/she needs someone to make him/her feel comfortable.;Wenn er/sie wegen einer schmerzvollen Erfahrung leidet, brauche er/sie jemanden, der ihn/sie tröstet.;Ha valami rossz történt vele, szüksége van valakire, aki megvigasztalja.
18;Honesty-Humility;Greed-Avoidance;0;Having a lot of money is not especially important to him/her.;Viel Geld zu haben ist nicht besonders wichtig für ihn/sie.;Nem igazán fontos neki, hogy sok pénze legyen.
19;Openness to Experience;Unconventionality;1;He/she thinks that paying attention to radical ideas is a waste of time.;Er/Sie denkt, dass es Zeitverschwendung ist, radikalen Ideen Aufmerksamkeit zu schenken.;A radikális nézetekkel való foglalkozás szerinte egyszerűen időpocsékolás.
20;Conscientiousness;Prudence;1;He/she makes decisions based on the feeling of the moment rather than on careful thought.;Er/Sie trifft Entscheidungen eher aus dem Bauch heraus als durch sorgfältiges Nachdenken.;Inkább a pillanatnyi érzelmei, mint a gondos megfontolás vezeti a döntéseiben.
21;Agreeableness;Patience;1;People think of him/her as someone who has a quick temper.;Andere halten ihn/sie für jähzornig.;Az emberek robbanékony természetűnek tartják.
22;Extraversion;Liveliness;0;He/she is energetic nearly all the time.;Er/Sie ist fast immer voller Energie.;Szinte mindig tele van energiával.
23;Emotionality;Sentimentality;0;He/she feels like crying when he/she sees other people crying.;Er/Sie könnte weinen, wenn er/sie andere Personen sieht, die weinen.;Úgy érzi, őt is elkap a sírás, ha másokat sírni lát.
24;Honesty-Humility;Modesty;0;He/she thinks that he/she is an ordinary person who is no better than others.;Er/Sie denkt, dass er/sie eine ganz normale Person ist, die nicht besser ist als andere.;Olyan, mint a többi ember: se jobb, se rosszabb.
25;Openness to Experience;Aesthetic Appreciation;1;He/she wouldn't spend his/her time reading a book of poetry.;Er/Sie würde seine/ihre Zeit nicht damit verbringen, einen Gedichtband zu lesen.;Nem fordítaná az idejét egy verses kötet olvasására.
26;Conscientiousness;Organization;0;He/she plans ahead and organizes things, to avoid scrambling at the last minute.;Er/Sie plant im Voraus und organisiert, damit in letzter Minute kein Zeitdruck aufkommt.;A dolgait előre eltervezi, hogy elkerülje az utolsó percben való kapkodást.
27;Agreeableness;Forgiveness;0;"His/her attitude toward people who have treated him/her badly is ""forgive and forget"".";"Seine/Ihre Einstellung gegenüber Personen, die ihn/sie schlecht behandelt haben, ist ""vergeben und vergessen"".";Ha valaki rosszul bánt vele, képes megbocsátani és a feledés fátylát borítani a történtekre.
28;Extraversion;Social Self-Esteem;0;He/she thinks that most people like some aspects of his/her personality.;Er/Sie glaubt, dass die meisten Menschen einige Aspekte seines/ihres Charakters mögen.;Úgy gondolja, hogy az emberek többsége talál benne szimpatikus vonásokat.
29;Emotionality;Fearfulness;1;He/she doesn't mind doing jobs that involve dangerous work.;Es stört ihn/sie nicht, Arbeiten zu erledigen, die gefährlich sind.;Nem zavarja, ha a munkája veszélyekkel is jár.
30;Honesty-Humility;Sincerity;0;He/she wouldn't use flattery to get a raise or promotion at work, even if he/she thought it would succeed.;Er/Sie würde keine Schmeicheleien benutzen, um eine Gehaltserhöhung zu bekommen oder befördert zu werden, auch wenn er/sie wüsste, dass es erfolgreich wäre.;Akkor sem hízelgene a főnökének, ha tudná, fizetésemelést vagy előrelépést érne el vele.
31;Openness to Experience;Inquisitiveness;0;He/she enjoys looking at maps of different places.;Er/Sie mag es, Landkarten von anderen Orten zu betrachten.;Szívesen nézeget idegen helyek térképeit.
32;Conscientiousness;Diligence;0;He/she often pushes himself/herself very hard when trying to achieve a goal.;Er/Sie treibt sich oft selbst sehr stark an, wenn er/sie versucht, ein Ziel zu erreichen.;Céljainak elérésére gyakran minden erejét beveti.
33;Agreeableness;Gentleness;0;He/she generally accepts people's faults without complaining about them.;Er/Sie akzeptiert im Allgemeinen die Schwächen anderer, ohne sich darüber zu beschweren.;Általában zokszó nélkül elfogadja mások hibáit.
34;Extraversion;Social Boldness;0;In social situations, he/she is usually the one who makes the first move.;In sozialen Situationen ist er/sie gewöhnlich der/die, der/die den ersten Schritt macht.;Társas helyzetekben általában ő az, aki beszélgetést kezdeményez.
35;Emotionality;Anxiety;1;He/she worries a lot less than most people do.;Er/Sie macht sich viel weniger Sorgen als die meisten Leute.;Sokkal kevesebbet aggodalomaskodik, mint általában a többi ember szokott.
36;Honesty-Humility;Fairness;1;He/she would be tempted to buy stolen property if he/she were financially tight.;Er/Sie würde in Versuchung geraten, Diebesgut zu kaufen, wenn er/sie knapp bei Kasse wäre.;Szűkös anyagi helyzetben kísértésbe tudna esni, hogy lopott árut vásároljon.
37;Openness to Experience;Creativity;0;He/she would enjoy creating a work of art, such as a novel, a song, or a painting.;Er/Sie würde es genießen, ein Kunstwerk zu schaffen, etwa einen Roman, ein Lied oder ein Gemälde.;Szívesen alkotna valami művészi munkát: egy regényt, zeneszámot, vagy festményt.
38;Conscientiousness;Perfectionism;1;When working on something, he/she doesn't pay much attention to small details.;Wenn er/sie an irgendetwas arbeitet, beachtet er/sie kleine Details nicht allzu sehr.;Ha dolgozik valamin, nem igazán fordít különös figyelmet az apró részletekre.
39;Agreeableness;Flexibility;0;He/she is usually quite flexible in his/her opinions when people disagree with him/her.;Er/Sie ist gewöhnlich ziemlich flexibel in seinen/ihren Ansichten, wenn andere Leute ihm/ihr nicht zustimmen.;Általában könnyen megváltoztatja a véleményét, ha az emberek nem értenek vele egyet.
40;Extraversion;Sociability;0;He/she enjoys having lots of people around to talk with.;Er/Sie genießt es, viele Leute um sich herum zu haben, mit denen er/sie reden kann.;Szereti, ha sokan veszik körül és élénk beszélgetés folyik.
41;Emotionality;Dependence;1;He/she can handle difficult situations without needing emotional support from anyone else.;Er/Sie kann mit schwierigen Situationen umgehen, ohne dass er/sie emotionale Unterstützung von irgendjemandem braucht.;Nehezebb helyzetekkel is elboldogul anélkül, hogy érzelmi támogatásra lenne szüksége.
42;Honesty-Humility;Greed-Avoidance;1;He/she would like to live in a very expensive, high-class neighborhood.;Er/Sie würde gerne in einer sehr teuren, angesehenen Nachbarschaft wohnen.;Szívesen lakna egy gazdag és előkelő negyedben.
43;Openness to Experience;Unconventionality;0;He/she likes people who have unconventional views.;Er/Sie mag Leute, die unkonventionelle Ideen haben.;Szimpatikusak számára azok az emberek, akiknek eredeti, az átlagtól eltérő nézeteik vannak.
44;Conscientiousness;Prudence;1;He/she makes a lot of mistakes because he/she doesn't think before he/she acts.;Er/Sie macht viele Fehler, weil er/sie nicht nachdenkt, bevor er/sie handelt.;Sok hibát követ el, mert előbb cselekszik és csak aztán gondolkodik.
45;Agreeableness;Patience;0;He/she rarely feels anger, even when people treat him/her quite badly.;Er/Sie wird selten wütend, selbst wenn andere ihn/sie ziemlich schlecht behandeln.;Nem szokta felkapni a vizet akkor sem, ha valaki rosszul bánik vele.
46;Extraversion;Liveliness;0;On most days, he/she feels cheerful and optimistic.;An den meisten Tagen ist er/sie fröhlich und optimistisch.;Többnyire vidám és optimista.
47;Emotionality;Sentimentality;0;When someone he/she knows well is unhappy, he/she can almost feel that person's pain himself/herself.;Wenn jemand, den er/sie gut kennt, unglücklich ist, kann er/sie den Schmerz dieser Person fast selber spüren.;Ha valaki, akit jól ismer, el van keseredve, szinte fizikailag érzi a fájdalmát.
48;Honesty-Humility;Modesty;0;He/she wouldn't want people to treat him/her as though he/she were superior to them.;Er/Sie will nicht, dass andere Leute ihn/sie behandeln, als ob er/sie ihnen überlegen sei.;Nem szeretné, ha mások különbnek tartanák maguknál.
49;Openness to Experience;Aesthetic Appreciation;0;If he/she had the opportunity, he/she would like to attend a classical music concert.;Wenn er/sie die Gelegenheit dazu hätte, würde er/sie gerne ein Konzert mit klassischer Musik besuchen.;Ha az alkalom úgy hozná, szívesen elmenne egy klasszikus koncertre.
50;Conscientiousness;Organization;1;People often joke with him/her about the messiness of his/her room or desk.;Andere machen oft mit ihm/ihr zusammen Witze über die Unordentlichkeit seines/ihres Zimmers oder Schreibtisches.;Mások sokszor ugratják a rendetlensége miatt.
51;Agreeableness;Forgiveness;1;If someone has cheated him/her once, he/she will always feel suspicious of that person.;Wenn ihn/sie jemand einmal betrogen hat, wird er/sie dieser Person gegenüber immer misstrauisch bleiben.;Ha valaki egyszer már átrejtette, azzal szemben mindig is gyanakvó marad.
52;Extraversion;Social Self-Esteem;1;He/she feels that he/she is an unpopular person.;Er/Sie ist der Meinung, dass er/sie nicht beliebt ist.;Úgy érzi, hogy népszerűtlen.
53;Emotionality;Fearfulness;0;When it comes to physical danger, he/she is very fearful.;Wenn es um körperliche Gefahren geht, ist er/sie sehr ängstlich.;Testi épségét veszélyeztető helyzetekben nagyon fél.
54;Honesty-Humility;Sincerity;1;If he/she wants something from someone, he/she will laugh at that person's worst jokes.;Wenn er/sie von jemandem etwas will, lacht er/sie auch noch über dessen schlechteste Witze.;Ha valakitől valamit akar, akkor még a faviccein is képes nevetni.
55;Openness to Experience;Inquisitiveness;1;He/she would be very bored by a book about the history of science and technology.;Er/Sie wäre von einem Buch über die Geschichte der Wissenschaft und Technik sehr gelangweilt.;Egy, a tudomány és technika történetéről szóló könyv, a végletekig untatná.
56;Conscientiousness;Diligence;1;Often when he/she sets a goal, he/she ends up quitting without having reached it.;Wenn er/sie sich ein Ziel setzt, gibt er/sie oft auf, bevor er/sie es erreicht hat.;Ha kitűz egy célt maga elé, gyakran feladja, mielőtt elérné.
57;Agreeableness;Gentleness;0;He/she tends to be lenient in judging other people.;Er/Sie neigt dazu, nachsichtig zu sein, wenn er/sie andere beurteilt.;Jobbára jóindulattal ítélkezik mások felett.
58;Extraversion;Social Boldness;0;When he/she is in a group of people, he/she is often the one who speaks on behalf of the group.;Wenn er/sie in einer Gruppe von Leuten ist, ist er/sie oft derjenige/diejenige, der/die im Namen der Gruppe spricht.;Ha egy csoport tagja, gyakran lesz a szóvivője is.
59;Emotionality;Anxiety;1;He/she rarely, if ever, has trouble sleeping due to stress or anxiety.;Er/Sie hat selten, wenn überhaupt, Schlafprobleme durch Stress oder Angst.;Szinte sosincs gondja az alvással stressz vagy szorongás miatt.
60;Honesty-Humility;Fairness;0;He/she would never accept a bribe, even if it were very large.;Er/Sie würde niemals Bestechungsgeld annehmen, auch wenn es sehr viel wäre.;Sosem hagyná magát megvesztegetni, mindegy mekkora is lenne az az ajánlat.
61;Openness to Experience;Creativity;0;He/she has a good imagination.;Man hat ihm/ihr schon oft gesagt, dass er/sie eine gute Vorstellungskraft hat.;Sokszor mondták már neki, hogy jó a fantáziája.
62;Conscientiousness;Perfectionism;0;He/she always tries to be accurate in his/her work, even at the expense of time.;Er/Sie versucht immer, fehlerfrei zu arbeiten, auch wenn es Zeit kostet.;A munkájában megpróbál még akkor is mindig precíz lenni, ha ez többletidejébe kerül.
63;Agreeableness;Flexibility;1;When people tell him/her that he/she is wrong, his/her first reaction is to argue with them.;Wenn ihm/ihr andere sagen, dass er/sie falsch liegt, ist seine/ihre erste Reaktion, mit ihnen zu streiten.;Ha azt mondják, hogy nincs igaza, az első reakciója, hogy vitába száll.
64;Extraversion;Sociability;0;He/she prefers jobs that involve active social interaction to those that involve working alone.;Er/Sie zieht Berufe, in denen man sich aktiv mit anderen Menschen auseinandersetzt solchen vor, in denen man alleine arbeitet.;Inkább az olyan munkákat szereti, ahol emberekkel kell foglalkozni, mint ahol egyedül kell dolgozni.
65;Emotionality;Dependence;0;Whenever he/she feels worried about something, he/she wants to share his/her concern with another person.;Wenn er/sie sich um irgendetwas Sorgen macht, will er/sie seine/ihre Sorgen mit einer anderen Person teilen.;Ha valami aggasztja, szereti megosztani valakivel a gondját.
66;Honesty-Humility;Greed-Avoidance;1;He/she would like to be seen driving around in a very expensive car.;Er/Sie würde gerne dabei gesehen werden, wie er/sie in einem sehr teuren Auto herumfährt.;Klassz lenne, ha az emberek látnák, amint egy jó drága autóban ülve vezet.
67;Openness to Experience;Unconventionality;0;I think of him/her as a somewhat eccentric person.;Er/Sie hält sich selber für eine etwas exzentrische Person.;Kissé különcnek tartja magát.
68;Conscientiousness;Prudence;0;He/she doesn't allow his/her impulses to govern his/her behavior.;Er/Sie lässt nicht zu, dass seine/ihre Impulse sein/ihr Verhalten dominieren.;Nem engedi, hogy a pillanatnyi érzelmei irányítsák a viselkedését.
69;Agreeableness;Patience;0;Most people tend to get angry more quickly than he/she does.;Die meisten Leute werden schneller ärgerlich als er/sie.;A legtöbb embert könnyebb felbosszantani, mint őt.
70;Extraversion;Liveliness;1;People often tell him/her that he/she should try to cheer up.;Andere sagen ihm/ihr oft, dass er/sie versuchen sollte, etwas fröhlicher zu sein.;Sokszor mondják neki, hogy ne legyen olyan búval bélelt.
71;Emotionality;Sentimentality;0;He/she feels strong emotions when someone close to him/her is going away for a long time.;Er/Sie fühlt starke Emotionen, wenn jemand, der ihm/ihr nahe steht, für eine längere Zeit weggeht.;Nagyon megindítja, ha hozzá közelálló személyektől kell hosszú távra elbúcsúznia.
72;Honesty-Humility;Modesty;1;He/she thinks that he/she is entitled to more respect than the average person is.;Er/Sie denkt, dass er/sie mehr Respekt verdient als ein durchschnittlicher Mensch.;Úgy érzi, hogy több elismerés jár neki, mint egy átlagembernek.
73;Openness to Experience;Aesthetic Appreciation;0;Sometimes he/she likes to just watch the wind as it blows through the trees.;Manchmal mag er/sie es, einfach nur dem Wind zuzusehen, wie er durch die Bäume bläst.;Néha szereti nézni, ahogy a szél bolyong a fák között.
74;Conscientiousness;Organization;1;When working, he/she sometimes has difficulties due to being disorganized.;Wenn er/sie arbeitet, hat er/sie manchmal Schwierigkeiten, weil er/sie unorganisiert ist.;A munkájában néha hátráltatja, hogy nem jól organizált.
75;Agreeableness;Forgiveness;1;He/she finds it hard to fully forgive someone who has done something mean to him/her.;Es fällt ihm/ihr schwer, jemandem vollkommen zu vergeben, der ihm/ihr etwas Gemeines angetan hat.;Nehezére esik neki teljes szívből megbocsátani, ha csúnyán megbántották.
76;Extraversion;Social Self-Esteem;1;He/she sometimes feels that he/she is a worthless person.;Manchmal hat er/sie den Eindruck, dass er/sie wertlos ist.;Néha az az érzése, hogy értéktelen ember.
77;Emotionality;Fearfulness;1;Even in an emergency he/she wouldn't feel like panicking.;Selbst in einem Notfall würde er/sie nicht in Panik geraten.;Még egy vészhelyzetben sem vesztené el a fejét.
78;Honesty-Humility;Sincerity;0;He/she wouldn't pretend to like someone just to get that person to do favors for him/her.;Er/Sie würde nicht vortäuschen, jemanden zu mögen, nur um diese Person dazu zu bringen, ihm/ihr Gefälligkeiten zu erweisen.;Nem tettetné, hogy kedvel valakit, csak azért, hogy rávegye egy szívességre.
79;Openness to Experience;Inquisitiveness;1;He/she has never really enjoyed looking through an encyclopedia.;Er/Sie hat es noch nie wirklich gemocht, eine Enzyklopädie durchzublättern.;Igazándiból még sohasem lapozgatott élvezettel egy lexikonban.
80;Conscientiousness;Diligence;1;He/she does only the minimum amount of work needed to get by.;Er/Sie arbeitet nur so viel wie nötig, um gerade so durchzukommen.;Ami a munkát illeti, csak a legszükségesebb erőbedobással dolgozik.
81;Agreeableness;Gentleness;0;Even when people make a lot of mistakes, he/she rarely says anything negative.;Selbst wenn Leute viele Fehler machen, sagt er/sie nur selten etwas Negatives.;Még akkor sem nyilatkozik másokról negatívan, ha sok hibát követnek el.
82;Extraversion;Social Boldness;1;He/she tends to feel quite self-conscious when speaking in front of a group of people.;Er/Sie fühlt sich nicht ganz behaglich wenn er/sie vor einer Gruppe von Leuten spricht.;Nem szeret sok ember előtt felszólalni vagy beszédet tartani.
83;Emotionality;Anxiety;0;He/she gets very anxious when waiting to hear about an important decision.;Er/Sie wird sehr unruhig, wenn er/sie auf eine wichtige Entscheidung wartet.;Nagyon izgul, ha egy fontos döntés eredményére kell várnia.
84;Honesty-Humility;Fairness;1;He/she'd be tempted to use counterfeit money, if he/she were sure he/she could get away with it.;Er/Sie würde in die Versuchung geraten, Falschgeld zu benutzen, wenn er/sie sicher sein könnte, damit durchzukommen.;Kísértésbe vinné, hogy hamisított pénzt használjon, ha tudná, biztosan nem bukna le vele.
85;Openness to Experience;Creativity;1;I don't think of him/her as the artistic or creative type.;Er/Sie hält sich nicht für einen künstlerischen oder kreativen Menschen.;Nem hiszi, hogy kreatív vagy művészileg tehetséges típus lenne.
86;Conscientiousness;Perfectionism;0;People often call him/her a perfectionist.;Andere nennen ihn/sie oft einen Perfektionisten/eine Perfektionistin.;Az emberek gyakran tartják perfekcionistának.
87;Agreeableness;Flexibility;1;He/she finds it hard to compromise with people when he/she really thinks he/she is right.;Es fällt ihm/ihr schwer, mit anderen einen Kompromiss einzugehen, wenn er/sie überzeugt ist, dass er/sie Recht hat.;Nehezére esik neki másokkal kompromisszumot kötni, mikor úgy érzi, hogy teljesen igaza van.
88;Extraversion;Sociability;0;The first thing that he/she always does in a new place is to make friends.;Das erste, was er/sie an einem neuen Ort tut, ist, Freundschaften zu schließen.;Ha egy új helyre kerül, hamarosan új barátságokat is köt.
89;Emotionality;Dependence;1;He/she rarely discusses his/her problems with other people.;Er/Sie diskutiert selten seine/ihre Probleme mit anderen Leuten.;Szinte sosem vitatja meg másokkal a problémáit.
90;Honesty-Humility;Greed-Avoidance;1;He/she would get a lot of pleasure from owning expensive luxury goods.;Es würde ihm/ihr viel Freude bereiten, teure Luxusgüter zu besitzen.;Nagyon tudna örülni neki, ha méregdrága, luxus cuccai lennének.
91;Openness to Experience;Unconventionality;1;He/she finds it boring to discuss philosophy.;Er/Sie findet es langweilig, über Philosophie zu diskutieren.;A filozófiai eszmecseréket unalmasnak tartja.
92;Conscientiousness;Prudence;1;He/she prefers to do whatever comes to mind, rather than stick to a plan.;Er/Sie zieht es vor, das zu tun, was ihm/ihr gerade in den Sinn kommt, anstatt an einem Plan festzuhalten.;Inkább spontán szeret cselekedni, mint mindent előre eltervezni.
93;Agreeableness;Patience;1;He/she finds it hard to keep his/her temper when people insult him/her.;Es fällt ihm/ihr schwer, sich zu beherrschen, wenn Leute ihn/sie beleidigen.;Nehezemre esik neki uralkodni magán, ha megsértik.
94;Extraversion;Liveliness;1;Most people are more upbeat and dynamic than he/she generally is.;Die meisten Leute sind aufgedrehter und dynamischer als er/sie es im Allgemeinen ist.;A legtöbb ember dinamikusabb és élettelibb nála.
95;Emotionality;Sentimentality;1;He/she remains unemotional even in situations where most people get very sentimental.;Er/Sie bleibt emotionslos, selbst in Situationen, in denen die meisten Leute sehr sentimental werden.;Semleges marad olyan helyzetekben is, ahol mások érzelmessé válnak.
96;Honesty-Humility;Modesty;1;He/she wants people to know that he/she is an important person of high status.;Er/Sie will, dass alle wissen, dass er/sie eine wichtige angesehene Person ist.;Azt szeretné, ha mások fontos és magas pozícióban lévő embernek tartanák.
97;Interstitial;Altruism;0;He/she has sympathy for people who are less fortunate than he/she is.;Er/Sie hat Mitgefühl mit Menschen, die weniger Glück haben als er/sie.;Együttérzéssel tölti el, ha látja, másoknak kevesebb szerencse jutott az életben.
98;Interstitial;Altruism;0;He/she tries to give generously to those in need.;Er/Sie versucht, Notleidende großzügig zu unterstützen.;Megpróbál adakozni a rászorulóknak.
99;Interstitial;Altruism;1;It wouldn't bother him/her to harm someone he/she didn't like.;Es würde ihn/sie nicht stören, jemandem zu schaden, den er/sie nicht mag.;Nem okozna lelkiismeretfurdalást neki, ha valakit, akit nem kedvel, megbántana.
100;Interstitial;Altruism;1;People see him/her as a hard-hearted person.;Man hält ihn/sie für einen hartherzigen Menschen.;Keményszívű embernek tartják.